"","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
"Apr",NA,NA,1,3,5,1,10,3,12,4,2,7,15,11,3,6,31,31,4
"Aug",NA,1,8,34,69,217,163,61,128,78,151,41,60,114,59,207,576,150,311
"Dec",3,1,7,6,2,5,6,12,41,10,3,11,75,21,65,56,10,12,NA
"Feb",NA,3,NA,3,10,1,2,3,3,14,3,1,9,35,4,9,39,9,NA
"Jan",NA,2,NA,4,13,NA,2,3,9,35,4,1,6,28,3,15,61,8,NA
"Jul",NA,NA,7,9,36,65,154,29,98,25,73,24,81,133,45,134,208,187,271
"Jun",NA,NA,5,9,7,12,28,13,34,15,30,12,39,57,28,34,56,85,71
"Mar",NA,NA,NA,3,5,2,9,4,4,8,4,NA,5,32,7,4,23,20,2
"May",NA,NA,NA,4,14,3,13,11,5,3,14,11,21,13,12,15,50,27,5
"Nov",NA,6,7,6,6,3,22,12,16,27,16,45,86,137,136,87,41,15,NA
"Oct",NA,5,21,47,17,22,53,50,64,137,227,60,510,216,434,283,126,24,27
"Sep",NA,NA,16,44,38,41,126,46,98,191,181,35,78,73,219,224,475,98,128
